ID,date,endVZA,LAI_LXG1,baseline_LAI,LAI_LXG1_nowood
LT12,2024-09-20,10,5.282608695652174,7.08,0
LT12,2024-09-20,20,5.902439024390244,6.707317073170732,0
LT12,2024-09-20,30,4.7727272727272725,5.142857142857143,0
LT12,2024-09-20,40,4.333333333333333,3.6511627906976747,0.6821705426356584
LT12,2024-09-20,50,3.7833333333333337,2.7727272727272725,1.0106060606060612
LT12,2024-09-20,60,3.5538461538461537,2.1063829787234045,1.4474631751227491
LT12,2024-09-20,70,3.3188405797101455,1.7058823529411764,1.612958226768969
LT12,2024-09-20,80,3.0714285714285716,1.3859649122807018,1.6854636591478698
LT12,2024-09-20,90,2.581081081081081,1.180327868852459,1.4007532122286221
LT14,2024-09-20,10,8.627118644067798,0.41935483870967744,8.20776380535812
LT14,2024-09-20,20,6.688524590163935,0.42857142857142855,6.259953161592506
LT14,2024-09-20,30,5.920634920634921,0.5,5.420634920634921
LT14,2024-09-20,40,5.626865671641791,0.4909090909090909,5.1359565807326995
LT14,2024-09-20,50,5.191176470588235,0.4736842105263159,4.717492260061919
LT14,2024-09-20,60,4.638888888888889,0.5178571428571428,4.121031746031747
LT14,2024-09-20,70,4.220779220779221,0.5555555555555555,3.6652236652236656
LT14,2024-09-20,80,3.846153846153846,0.6470588235294117,3.199095022624434
LT14,2024-09-20,90,3.3717948717948714,0.6575342465753424,2.714260625219529
LT13,2024-09-20,10,5.76,0.47826086956521735,5.281739130434782
LT13,2024-09-20,20,5.270833333333333,0.3863636363636364,4.884469696969696
LT13,2024-09-20,30,4.175438596491229,0.4074074074074074,3.768031189083821
LT13,2024-09-20,40,3.9848484848484844,0.4655172413793104,3.519331243469174
LT13,2024-09-20,50,4.0144927536231885,0.4444444444444445,3.570048309178744
LT13,2024-09-20,60,3.8450704225352115,0.47619047619047616,3.368879946344735
LT13,2024-09-20,70,3.3947368421052633,0.5573770491803279,2.8373597929249352
LT13,2024-09-20,80,3.090909090909091,0.6,2.4909090909090907
LT13,2024-09-20,90,2.705128205128205,0.5873015873015873,2.1178266178266174
LT11,2024-09-20,10,9.957142857142857,0.6756756756756757,9.281467181467182
LT11,2024-09-20,20,7.253521126760564,0.5853658536585366,6.668155273102028
LT11,2024-09-20,30,5.782608695652175,0.68,5.102608695652175
LT11,2024-09-20,40,4.690140845070423,0.7843137254901961,3.905827119580227
LT11,2024-09-20,50,4.507462686567164,0.7758620689655173,3.731600617601647
LT11,2024-09-20,60,4.164179104477611,0.8360655737704918,3.3281135307071192
LT11,2024-09-20,70,3.8260869565217397,0.8615384615384616,2.964548494983278
LT11,2024-09-20,80,3.422535211267606,0.8923076923076922,2.5302275189599137
LT11,2024-09-20,90,2.9452054794520546,0.8208955223880597,2.124309957063995
LT22,2024-09-20,10,9.142857142857144,5.024390243902439,4.118466898954705
LT22,2024-09-20,20,6.636363636363636,4.605263157894737,2.0311004784688986
LT22,2024-09-20,30,5.476190476190476,3.75,1.7261904761904763
LT22,2024-09-20,40,4.838235294117647,3.325,1.5132352941176466
LT22,2024-09-20,50,4.309859154929578,2.697674418604651,1.6121847363249269
LT22,2024-09-20,60,4.183098591549296,2.2666666666666666,1.9164319248826294
LT22,2024-09-20,70,3.733333333333333,1.7884615384615385,1.9448717948717944
LT22,2024-09-20,80,3.5263157894736845,1.5357142857142856,1.990601503759399
LT22,2024-09-20,90,3.0384615384615383,1.3166666666666669,1.7217948717948715
LT24,2024-09-20,10,7.3076923076923075,0.65,6.657692307692307
LT24,2024-09-20,20,6.523809523809525,0.6666666666666666,5.857142857142858
LT24,2024-09-20,30,5.685714285714286,0.627906976744186,5.0578073089701
LT24,2024-09-20,40,5.108108108108108,0.6,4.508108108108108
LT24,2024-09-20,50,4.6923076923076925,0.7450980392156863,3.947209653092006
LT24,2024-09-20,60,4.085365853658537,0.7962962962962963,3.289069557362241
LT24,2024-09-20,70,3.746987951807229,0.7586206896551725,2.9883672621520563
LT24,2024-09-20,80,3.380952380952381,0.7704918032786885,2.6104605776736927
LT24,2024-09-20,90,2.988095238095238,0.7460317460317459,2.242063492063492
LT23,2024-09-20,10,5.203703703703703,0.7999999999999999,4.4037037037037035
LT23,2024-09-20,20,5.704918032786885,0.7419354838709677,4.962982548915917
LT23,2024-09-20,30,5.453125,0.5853658536585366,4.867759146341464
LT23,2024-09-20,40,4.714285714285714,0.5625000000000001,4.151785714285714
LT23,2024-09-20,50,4.3999999999999995,0.5283018867924528,3.8716981132075468
LT23,2024-09-20,60,4.039473684210526,0.5263157894736842,3.5131578947368416
LT23,2024-09-20,70,3.6410256410256405,0.6071428571428571,3.0338827838827833
LT23,2024-09-20,80,3.2375,0.6440677966101696,2.5934322033898303
LT23,2024-09-20,90,2.8170731707317076,0.6290322580645161,2.1880409126671916
LT21,2024-09-20,10,9.72289156626506,3.5000000000000004,6.22289156626506
LT21,2024-09-20,20,7.619718309859156,3.096774193548387,4.522944116310769
LT21,2024-09-20,30,6.283783783783784,2.428571428571429,3.8552123552123554
LT21,2024-09-20,40,5.6438356164383565,1.8571428571428572,3.7866927592954993
LT21,2024-09-20,50,5.038961038961038,1.711111111111111,3.327849927849927
LT21,2024-09-20,60,4.576923076923077,1.52,3.0569230769230766
LT21,2024-09-20,70,4.207792207792208,1.490566037735849,2.717226170056359
LT21,2024-09-20,80,3.769230769230769,1.3620689655172415,2.4071618037135276
LT21,2024-09-20,90,3.2658227848101267,1.1935483870967742,2.072274397713352
LT32,2024-09-20,10,5.052631578947368,5.170731707317073,0
LT32,2024-09-20,20,5.280701754385965,5.5576923076923075,0
LT32,2024-09-20,30,5.074626865671641,4.979166666666667,0.09546019900497438
LT32,2024-09-20,40,5.061538461538461,4.081632653061225,0.9799058084772367
LT32,2024-09-20,50,4.428571428571429,3.056603773584906,1.371967654986523
LT32,2024-09-20,60,4.083333333333333,2.4727272727272727,1.6106060606060604
LT32,2024-09-20,70,3.736111111111111,1.966101694915254,1.770009416195857
LT32,2024-09-20,80,3.3200000000000003,1.59375,1.7262500000000003
LT32,2024-09-20,90,2.871794871794872,1.338235294117647,1.5335595776772248
LT34,2024-09-20,10,9.897058823529411,1.3409090909090908,8.55614973262032
LT34,2024-09-20,20,7.205882352941177,1.1304347826086956,6.075447570332481
LT34,2024-09-20,30,6.582089552238806,0.94,5.642089552238806
LT34,2024-09-20,40,5.700000000000001,0.9444444444444444,4.755555555555556
LT34,2024-09-20,50,4.95945945945946,0.9285714285714285,4.030888030888031
LT34,2024-09-20,60,4.4935064935064934,0.819672131147541,3.6738343623589524
LT34,2024-09-20,70,4.1410256410256405,0.8,3.3410256410256407
LT34,2024-09-20,80,3.7948717948717947,0.8059701492537313,2.9889016456180633
LT34,2024-09-20,90,3.291139240506329,0.7536231884057972,2.5375160521005315
LT33,2024-09-20,10,10.579710144927537,0.5652173913043478,10.01449275362319
LT33,2024-09-20,20,7.044117647058823,0.4571428571428572,6.586974789915966
LT33,2024-09-20,30,5.76056338028169,0.5333333333333333,5.227230046948357
LT33,2024-09-20,40,5.260273972602739,0.6875000000000001,4.572773972602739
LT33,2024-09-20,50,4.8493150684931505,0.6666666666666666,4.182648401826484
LT33,2024-09-20,60,4.391891891891892,0.6271186440677966,3.7647732478240954
LT33,2024-09-20,70,3.8974358974358974,0.6949152542372882,3.2025206431986093
LT33,2024-09-20,80,3.5061728395061724,0.7377049180327869,2.7684679214733854
LT33,2024-09-20,90,3.098765432098765,0.7142857142857143,2.3844797178130506
LT31,2024-09-20,10,8.774193548387098,1.0588235294117647,7.715370018975333
LT31,2024-09-20,20,6.783333333333334,1.0196078431372548,5.763725490196079
LT31,2024-09-20,30,5.852941176470588,1.2448979591836735,4.608043217286914
LT31,2024-09-20,40,5.586666666666667,1.1923076923076923,4.394358974358974
LT31,2024-09-20,50,5.24,1.0517241379310345,4.1882758620689655
LT31,2024-09-20,60,4.947368421052631,1.15,3.797368421052631
LT31,2024-09-20,70,4.467532467532467,1.2833333333333334,3.184199134199134
LT31,2024-09-20,80,4.078947368421053,1.2153846153846155,2.8635627530364376
LT31,2024-09-20,90,3.5064935064935066,1.121212121212121,2.3852813852813854
LT42,2024-09-20,10,4.854166666666667,8.314814814814815,0
LT42,2024-09-20,20,4.18,5.711538461538462,0
LT42,2024-09-20,30,3.7592592592592586,4.416666666666667,0
LT42,2024-09-20,40,3.55,3.2941176470588234,0.25588235294117645
LT42,2024-09-20,50,3.454545454545454,2.6346153846153846,0.8199300699300696
LT42,2024-09-20,60,3.3134328358208958,2.0350877192982457,1.27834511652265
LT42,2024-09-20,70,3.028169014084507,1.7000000000000002,1.3281690140845068
LT42,2024-09-20,80,2.756756756756757,1.4603174603174605,1.2964392964392966
LT42,2024-09-20,90,2.44,1.28125,1.15875
